,T03,T04,T05,T06
147,7637,21027.0,0.0,0.0
148,7627,20737.0,0.0,0.0
149,1504,17935.0,0.0,0.0
150,8356,21535.0,0.0,0.0
151,9393,18467.0,0.0,0.0
152,9652,19406.0,0.0,0.0
153,10225,18619.0,0.0,0.0
154,10018,19746.0,0.0,0.0
155,10628,18924.0,0.0,0.0
156,10932,20453.0,0.0,0.0
157,12060,15448.0,0.0,0.0
158,11483,18724.0,0.0,0.0
159,11735,18462.0,0.0,0.0
160,12271,18497.0,0.0,0.0
161,11968,19500.0,0.0,0.0
162,11591,19876.0,0.0,0.0
163,11796,16984.0,0.0,0.0
164,12318,17263.0,0.0,0.0
165,11885,19727.0,0.0,0.0
166,11718,17982.0,0.0,0.0
167,12658,19290.0,0.0,0.0
168,12046,20311.0,0.0,0.0
169,11264,24418.0,0.0,0.0
170,11608,21868.0,0.0,0.0
171,12375,21052.0,0.0,0.0
172,12513,19121.0,0.0,0.0
173,11590,19505.0,0.0,0.0
174,12435,20406.0,0.0,0.0
175,12759,18239.0,0.0,0.0
176,12323,25131.0,0.0,0.0
177,11771,24641.0,0.0,0.0
178,13428,25621.0,0.0,0.0
179,15054,27901.0,0.0,0.0
180,14388,28448.0,0.0,0.0
181,14975,27858.0,0.0,0.0
182,15269,25201.0,0.0,0.0
183,15016,21320.0,0.0,0.0
184,15289,25127.0,0.0,0.0
185,15648,24892.0,0.0,0.0
186,14529,23735.0,0.0,0.0
187,14860,21714.0,0.0,0.0
188,13982,21943.0,0.0,0.0
189,14069,22432.0,0.0,0.0
190,13176,22432.0,0.0,0.0
191,12867,21731.0,0.0,0.0
192,14179,22114.0,0.0,0.0
193,12643,22857.0,0.0,0.0
194,13047,22094.0,0.0,0.0
195,13812,22609.0,0.0,0.0
196,13746,22472.0,0.0,0.0
197,12985,22704.0,0.0,0.0
198,6603,23126.0,0.0,0.0
199,13964,21891.0,0.0,0.0
200,14579,22906.0,0.0,0.0
201,14086,23309.0,0.0,0.0
202,14509,28365.0,0.0,0.0
203,15055,25452.0,0.0,0.0
204,14137,27640.0,0.0,0.0
205,14925,28093.0,0.0,0.0
206,14801,26696.0,0.0,0.0
207,12221,32984.0,0.0,0.0
208,13739,31934.0,0.0,0.0
209,11880,25902.0,0.0,0.0
210,14279,23015.0,0.0,0.0
211,14156,31280.0,0.0,0.0
212,13742,26727.0,0.0,0.0
213,14177,26996.0,0.0,0.0
214,14114,25234.0,0.0,0.0
215,13811,32289.0,0.0,0.0
216,14354,36622.0,0.0,0.0
217,13349,31619.0,0.0,0.0
218,14257,34115.0,0.0,0.0
219,14679,27640.0,0.0,0.0
220,14466,27800.0,0.0,0.0
221,13926,25980.0,0.0,0.0
222,13656,26599.0,0.0,0.0
223,13986,24885.0,0.0,0.0
224,14563,21940.0,0.0,0.0
225,14671,29049.0,0.0,0.0
226,14154,34615.0,0.0,0.0
227,13978,28698.0,0.0,0.0
228,14280,0.0,0.0,0.0
229,13783,0.0,0.0,0.0
230,13906,0.0,0.0,0.0
231,14361,0.0,0.0,0.0
232,14533,0.0,0.0,0.0
233,14512,0.0,0.0,0.0
234,15032,0.0,0.0,0.0
235,14952,0.0,0.0,0.0
236,14576,0.0,0.0,0.0
237,8856,0.0,0.0,0.0
238,9538,0.0,0.0,0.0
239,8468,0.0,0.0,0.0
240,9036,0.0,0.0,0.0
241,382,0.0,0.0,0.0
242,9025,0.0,0.0,0.0
243,8880,0.0,0.0,0.0
244,14837,0.0,0.0,0.0
245,14698,0.0,0.0,0.0
246,16015,0.0,0.0,0.0
247,15426,0.0,0.0,0.0
248,15736,0.0,0.0,0.0
249,15478,0.0,0.0,0.0
250,15006,0.0,0.0,0.0
251,15699,0.0,0.0,0.0
252,15777,0.0,0.0,0.0
253,15756,0.0,0.0,0.0
254,13431,0.0,0.0,0.0
255,15621,0.0,0.0,0.0
256,15820,0.0,0.0,0.0
257,17391,0.0,0.0,0.0
258,15874,0.0,0.0,0.0
259,15779,0.0,0.0,0.0
260,17189,0.0,0.0,0.0
261,14782,0.0,0.0,0.0
262,16385,0.0,0.0,0.0
263,16974,0.0,0.0,0.0
264,16773,0.0,0.0,0.0
265,15944,0.0,0.0,0.0
266,15443,0.0,0.0,0.0
267,16177,0.0,0.0,0.0
268,16142,0.0,0.0,0.0
269,15887,0.0,0.0,0.0
270,16540,0.0,0.0,0.0
271,16249,0.0,0.0,0.0
272,17027,0.0,0.0,0.0
273,15338,0.0,0.0,0.0
274,16325,0.0,0.0,0.0
275,16481,0.0,0.0,0.0
276,16950,0.0,0.0,0.0
277,17336,0.0,0.0,0.0
278,17300,0.0,0.0,0.0
279,16971,0.0,0.0,0.0
280,17743,0.0,0.0,0.0
281,16785,0.0,0.0,0.0
282,17722,0.0,0.0,0.0
283,17729,0.0,0.0,0.0
284,13427,0.0,0.0,0.0
285,15960,0.0,0.0,0.0
286,16313,0.0,0.0,0.0
287,16351,0.0,0.0,0.0
288,16687,0.0,0.0,0.0
289,16029,0.0,0.0,0.0
290,15177,0.0,0.0,0.0
291,16055,0.0,0.0,0.0
292,16286,0.0,0.0,0.0
293,16457,0.0,0.0,0.0
294,16220,0.0,0.0,0.0
295,16447,0.0,0.0,0.0
296,17227,0.0,0.0,0.0
297,16663,0.0,0.0,0.0
298,16717,0.0,0.0,0.0
299,16954,0.0,0.0,0.0
300,17182,0.0,0.0,0.0
301,16440,0.0,0.0,0.0
302,16525,0.0,0.0,0.0
303,16787,0.0,0.0,0.0
304,17824,0.0,0.0,0.0
305,16809,0.0,0.0,0.0
306,17617,0.0,0.0,0.0
307,16881,0.0,0.0,0.0
308,17070,0.0,0.0,0.0
309,17516,0.0,0.0,0.0
310,16461,0.0,0.0,0.0
311,16819,0.0,0.0,0.0
312,17586,0.0,0.0,0.0
313,18024,0.0,0.0,0.0
314,16272,0.0,0.0,0.0
315,19142,0.0,0.0,0.0
316,19338,0.0,0.0,0.0
317,18751,0.0,0.0,0.0
318,19798,0.0,0.0,0.0
319,18383,0.0,0.0,0.0
320,19020,0.0,0.0,0.0
321,18413,0.0,0.0,0.0
322,18833,0.0,0.0,0.0
323,18365,0.0,0.0,0.0
324,18157,0.0,0.0,0.0
325,19362,0.0,0.0,0.0
326,19816,0.0,0.0,0.0
327,17890,0.0,0.0,0.0
328,19374,0.0,0.0,0.0
329,18979,0.0,0.0,0.0
330,19477,0.0,0.0,0.0
331,18559,0.0,0.0,0.0
332,19408,0.0,0.0,0.0
333,18811,0.0,0.0,0.0
334,19648,0.0,0.0,0.0
335,19295,0.0,0.0,0.0
336,19567,0.0,0.0,0.0
337,18689,0.0,0.0,0.0
338,18404,0.0,0.0,0.0
339,18603,0.0,0.0,0.0
340,19264,0.0,0.0,0.0
341,20134,0.0,0.0,0.0
342,19793,0.0,0.0,0.0
343,20590,0.0,0.0,0.0
344,15915,0.0,0.0,0.0
345,17936,0.0,0.0,0.0
346,18085,0.0,0.0,0.0
347,18299,0.0,0.0,0.0
348,17701,0.0,0.0,0.0
349,17977,0.0,0.0,0.0
350,18977,0.0,0.0,0.0
351,16908,0.0,0.0,0.0
352,18012,0.0,0.0,0.0
353,18342,0.0,0.0,0.0
354,18146,0.0,0.0,0.0
355,16681,0.0,0.0,0.0
356,17589,0.0,0.0,0.0
357,17201,0.0,0.0,0.0
358,17303,0.0,0.0,0.0
359,17732,0.0,0.0,0.0
360,19729,0.0,0.0,0.0
361,19517,0.0,0.0,0.0
362,17873,0.0,0.0,0.0
363,18217,0.0,0.0,0.0
364,20214,0.0,0.0,0.0
365,19518,0.0,0.0,0.0
366,18998,0.0,0.0,0.0
367,17234,0.0,0.0,0.0
368,18911,0.0,0.0,0.0
369,18992,0.0,0.0,0.0
370,18001,0.0,0.0,0.0
371,19422,0.0,0.0,0.0
372,18355,0.0,0.0,0.0
373,19541,0.0,0.0,0.0
374,17505,0.0,0.0,0.0
375,21892,0.0,0.0,0.0
376,21404,0.0,0.0,0.0
377,20280,0.0,0.0,0.0
378,20822,0.0,0.0,0.0
379,21365,0.0,0.0,0.0
380,21049,0.0,0.0,0.0
381,21325,0.0,0.0,0.0
382,21891,0.0,0.0,0.0
383,21284,0.0,0.0,0.0
384,21215,0.0,0.0,0.0
385,21789,0.0,0.0,0.0
386,21352,0.0,0.0,0.0
387,19777,0.0,0.0,0.0
388,20510,0.0,0.0,0.0
389,20545,0.0,0.0,0.0
390,21293,0.0,0.0,0.0
391,21266,0.0,0.0,0.0
392,21476,0.0,0.0,0.0
393,20893,0.0,0.0,0.0
394,21372,0.0,0.0,0.0
395,20568,0.0,0.0,0.0
396,20078,0.0,0.0,0.0
397,21296,0.0,0.0,0.0
398,20150,0.0,0.0,0.0
399,20278,0.0,0.0,0.0
400,20723,0.0,0.0,0.0
401,21212,0.0,0.0,0.0
402,20128,0.0,0.0,0.0
403,20267,0.0,0.0,0.0
404,14936,0.0,0.0,0.0
405,15072,0.0,0.0,0.0
406,18297,0.0,0.0,0.0
407,18106,0.0,0.0,0.0
408,18808,0.0,0.0,0.0
409,19616,0.0,0.0,0.0
410,18309,0.0,0.0,0.0
411,18704,0.0,0.0,0.0
412,18743,0.0,0.0,0.0
413,18866,0.0,0.0,0.0
414,19059,0.0,0.0,0.0
415,18647,0.0,0.0,0.0
416,19611,0.0,0.0,0.0
417,19590,0.0,0.0,0.0
418,19298,0.0,0.0,0.0
419,18584,0.0,0.0,0.0
420,17940,0.0,0.0,0.0
421,17762,0.0,0.0,0.0
422,17379,0.0,0.0,0.0
423,17431,0.0,0.0,0.0
424,18433,0.0,0.0,0.0
425,17619,0.0,0.0,0.0
426,20090,0.0,0.0,0.0
427,18547,0.0,0.0,0.0
428,18626,0.0,0.0,0.0
429,19218,0.0,0.0,0.0
430,19207,0.0,0.0,0.0
431,18692,0.0,0.0,0.0
432,19461,0.0,0.0,0.0
433,18047,0.0,0.0,0.0
434,17102,0.0,0.0,0.0
435,22139,0.0,0.0,0.0
436,22712,0.0,0.0,0.0
437,21712,0.0,0.0,0.0
438,22597,0.0,0.0,0.0
439,21689,0.0,0.0,0.0
440,21520,0.0,0.0,0.0
441,21423,0.0,0.0,0.0
442,21427,0.0,0.0,0.0
443,21217,0.0,0.0,0.0
444,21853,0.0,0.0,0.0
445,21768,0.0,0.0,0.0
446,22197,0.0,0.0,0.0
447,22392,0.0,0.0,0.0
448,21615,0.0,0.0,0.0
449,20334,0.0,0.0,0.0
450,20427,0.0,0.0,0.0
451,21999,0.0,0.0,0.0
452,21169,0.0,0.0,0.0
453,22814,0.0,0.0,0.0
454,21831,0.0,0.0,0.0
455,22195,0.0,0.0,0.0
456,23339,0.0,0.0,0.0
457,22990,0.0,0.0,0.0
458,22735,0.0,0.0,0.0
459,22986,0.0,0.0,0.0
460,22883,0.0,0.0,0.0
461,21679,0.0,0.0,0.0
462,21425,0.0,0.0,0.0
463,21946,0.0,0.0,0.0
464,16873,0.0,0.0,0.0
465,23923,0.0,0.0,0.0
466,24070,0.0,0.0,0.0
467,23105,0.0,0.0,0.0
468,24318,0.0,0.0,0.0
469,24071,0.0,0.0,0.0
470,24086,0.0,0.0,0.0
471,25179,0.0,0.0,0.0
472,23397,0.0,0.0,0.0
473,25405,0.0,0.0,0.0
474,24125,0.0,0.0,0.0
475,24369,0.0,0.0,0.0
476,25111,0.0,0.0,0.0
477,25258,0.0,0.0,0.0
478,24584,0.0,0.0,0.0
479,24704,0.0,0.0,0.0
480,26291,0.0,0.0,0.0
481,25436,0.0,0.0,0.0
482,25505,0.0,0.0,0.0
483,25712,0.0,0.0,0.0
484,24152,0.0,0.0,0.0
485,25776,0.0,0.0,0.0
486,25799,0.0,0.0,0.0
487,23830,0.0,0.0,0.0
488,25052,0.0,0.0,0.0
489,22159,0.0,0.0,0.0
490,25928,0.0,0.0,0.0
491,25021,0.0,0.0,0.0
492,24349,0.0,0.0,0.0
493,24779,0.0,0.0,0.0
494,22438,0.0,0.0,0.0
495,21306,0.0,0.0,0.0
496,20933,0.0,0.0,0.0
497,23569,0.0,0.0,0.0
498,23359,0.0,0.0,0.0
499,21909,0.0,0.0,0.0
500,22873,0.0,0.0,0.0
501,21973,0.0,0.0,0.0
502,22919,0.0,0.0,0.0
503,21725,0.0,0.0,0.0
