,T03,T04,T05,T06
799,25843,0.0,0.0,0.0
800,26006,0.0,0.0,0.0
801,20352,0.0,0.0,0.0
802,26256,0.0,0.0,0.0
803,28231,0.0,0.0,0.0
804,25710,0.0,0.0,0.0
805,26935,0.0,0.0,0.0
806,23324,0.0,0.0,0.0
807,24549,0.0,0.0,0.0
808,26623,0.0,0.0,0.0
809,23624,0.0,0.0,0.0
810,27037,0.0,0.0,0.0
811,27361,0.0,0.0,0.0
812,26991,0.0,0.0,0.0
813,25989,0.0,0.0,0.0
814,21004,0.0,0.0,0.0
815,24468,0.0,0.0,0.0
816,28800,0.0,0.0,0.0
817,27238,0.0,0.0,0.0
818,25045,0.0,0.0,0.0
819,27022,0.0,0.0,0.0
820,26758,0.0,0.0,0.0
821,26461,0.0,0.0,0.0
822,29713,0.0,0.0,0.0
823,29079,0.0,0.0,0.0
824,29800,0.0,0.0,0.0
825,29684,0.0,0.0,0.0
826,30251,0.0,0.0,0.0
827,31112,0.0,0.0,0.0
828,31095,0.0,0.0,0.0
829,30126,0.0,0.0,0.0
830,31019,0.0,0.0,0.0
831,30907,0.0,0.0,0.0
832,29216,0.0,0.0,0.0
833,29980,0.0,0.0,0.0
834,30330,0.0,0.0,0.0
835,30094,0.0,0.0,0.0
836,24494,0.0,0.0,0.0
837,29280,0.0,0.0,0.0
838,28835,0.0,0.0,0.0
839,30792,0.0,0.0,0.0
840,28371,0.0,0.0,0.0
841,28637,0.0,0.0,0.0
842,28520,0.0,0.0,0.0
843,30710,0.0,0.0,0.0
844,31314,0.0,0.0,0.0
845,28706,0.0,0.0,0.0
846,29818,0.0,0.0,0.0
847,27323,0.0,0.0,0.0
848,27967,0.0,0.0,0.0
849,26701,0.0,0.0,0.0
850,27029,0.0,0.0,0.0
851,28413,0.0,0.0,0.0
852,27537,0.0,0.0,0.0
853,30427,0.0,0.0,0.0
854,31439,0.0,0.0,0.0
855,32082,0.0,0.0,0.0
856,32450,0.0,0.0,0.0
857,31623,0.0,0.0,0.0
858,32844,0.0,0.0,0.0
859,32604,0.0,0.0,0.0
860,30192,0.0,0.0,0.0
861,31547,0.0,0.0,0.0
862,32685,0.0,0.0,0.0
863,32948,0.0,0.0,0.0
864,32748,0.0,0.0,0.0
865,30022,0.0,0.0,0.0
866,28442,0.0,0.0,0.0
867,30508,0.0,0.0,0.0
868,29526,0.0,0.0,0.0
869,29320,0.0,0.0,0.0
870,28987,0.0,0.0,0.0
871,29208,0.0,0.0,0.0
872,31127,0.0,0.0,0.0
873,32296,0.0,0.0,0.0
874,31799,0.0,0.0,0.0
875,30143,0.0,0.0,0.0
876,21829,0.0,0.0,0.0
877,21420,0.0,0.0,0.0
878,27522,0.0,0.0,0.0
879,32719,0.0,0.0,0.0
880,23226,0.0,0.0,0.0
881,32350,0.0,0.0,0.0
882,26682,0.0,0.0,0.0
883,25443,0.0,0.0,0.0
884,26081,0.0,0.0,0.0
885,25987,0.0,0.0,0.0
886,25835,0.0,0.0,0.0
887,26413,0.0,0.0,0.0
888,26324,0.0,0.0,0.0
889,23890,0.0,0.0,0.0
890,26674,0.0,0.0,0.0
891,26506,0.0,0.0,0.0
892,26871,0.0,0.0,0.0
893,27019,0.0,0.0,0.0
894,24630,0.0,0.0,0.0
895,26045,0.0,0.0,0.0
896,25563,0.0,0.0,0.0
897,23976,0.0,0.0,0.0
898,24381,0.0,0.0,0.0
899,22270,0.0,0.0,0.0
900,25146,0.0,0.0,0.0
901,25305,0.0,0.0,0.0
902,23204,0.0,0.0,0.0
903,25425,0.0,0.0,0.0
904,22404,0.0,0.0,0.0
905,24459,0.0,0.0,0.0
906,25072,0.0,0.0,0.0
907,27222,0.0,0.0,0.0
908,23441,0.0,0.0,0.0
909,30277,0.0,0.0,0.0
910,29629,0.0,0.0,0.0
911,28555,0.0,0.0,0.0
912,30038,0.0,0.0,0.0
913,26273,0.0,0.0,0.0
914,27132,0.0,0.0,0.0
915,28560,0.0,0.0,0.0
916,29659,0.0,0.0,0.0
917,25660,0.0,0.0,0.0
918,29514,0.0,0.0,0.0
919,29053,0.0,0.0,0.0
920,29091,0.0,0.0,0.0
921,28329,0.0,0.0,0.0
922,29734,0.0,0.0,0.0
923,29173,0.0,0.0,0.0
924,29323,0.0,0.0,0.0
925,29704,0.0,0.0,0.0
926,28519,0.0,0.0,0.0
927,28765,0.0,0.0,0.0
928,26460,0.0,0.0,0.0
929,29947,0.0,0.0,0.0
930,29097,0.0,0.0,0.0
931,28386,0.0,0.0,0.0
932,31666,0.0,0.0,0.0
933,33607,0.0,0.0,0.0
934,37689,0.0,0.0,0.0
935,31136,0.0,0.0,0.0
936,28132,0.0,0.0,0.0
937,33613,0.0,0.0,0.0
938,37860,0.0,0.0,0.0
939,38786,0.0,0.0,0.0
940,38408,0.0,0.0,0.0
941,40523,0.0,0.0,0.0
942,33629,0.0,0.0,0.0
943,37430,0.0,0.0,0.0
