,T03,T04,T05,T06,T02,index
412,16002.0,0.0,0.0,0.0,1538,137
423,14981.0,0.0,0.0,0.0,1460,138
434,16493.0,0.0,0.0,0.0,1483,139
446,19250.0,0.0,0.0,0.0,1477,140
457,20000.0,0.0,0.0,0.0,1515,141
468,20966.0,0.0,0.0,0.0,1475,142
479,22214.0,0.0,0.0,0.0,1472,143
490,22136.0,0.0,0.0,0.0,1492,144
501,19852.0,0.0,0.0,0.0,1483,145
512,18731.0,0.0,0.0,0.0,1358,146
533,16099.0,0.0,0.0,0.0,1112,148
544,15878.0,0.0,0.0,0.0,1484,149
556,21970.0,0.0,0.0,0.0,1476,150
567,19353.0,0.0,0.0,0.0,1584,151
578,9247.0,0.0,0.0,0.0,1592,152
589,14863.0,0.0,0.0,0.0,1614,153
600,17783.0,0.0,0.0,0.0,1514,154
611,21218.0,0.0,0.0,0.0,1619,155
622,21934.0,0.0,0.0,0.0,1579,156
633,21704.0,0.0,0.0,0.0,1545,157
644,23440.0,0.0,0.0,0.0,1543,158
655,21031.0,0.0,0.0,0.0,1567,159
666,15709.0,0.0,0.0,0.0,1525,160
677,17707.0,0.0,0.0,0.0,1535,161
688,16319.0,0.0,0.0,0.0,1632,162
697,26598.0,0.0,0.0,0.0,1641,163
708,26382.0,0.0,0.0,0.0,1624,164
719,29017.0,0.0,0.0,0.0,1555,165
730,24279.0,0.0,0.0,0.0,1653,166
741,24688.0,0.0,0.0,0.0,1681,167
752,22801.0,0.0,0.0,0.0,1645,168
763,23320.0,0.0,0.0,0.0,1660,169
775,25597.0,0.0,0.0,0.0,1701,170
786,12333.0,0.0,0.0,0.0,1737,171
797,12769.0,0.0,0.0,0.0,1738,172
808,7461.0,0.0,0.0,0.0,1740,173
819,21441.0,0.0,0.0,0.0,1794,174
830,18691.0,0.0,0.0,0.0,1786,175
841,19699.0,0.0,0.0,0.0,1781,176
851,24560.0,0.0,0.0,0.0,1886,177
862,22797.0,0.0,0.0,0.0,1780,178
873,27331.0,0.0,0.0,0.0,1791,179
885,27232.0,0.0,0.0,0.0,1827,180
896,27974.0,0.0,0.0,0.0,1872,181
907,29563.0,0.0,0.0,0.0,1809,182
918,27989.0,0.0,0.0,0.0,1840,183
929,19990.0,0.0,0.0,0.0,1786,184
940,24095.0,0.0,0.0,0.0,1741,185
951,22338.0,0.0,0.0,0.0,1763,186
962,27982.0,0.0,0.0,0.0,1802,187
973,26416.0,0.0,0.0,0.0,1630,188
