,index,length,min,max,var,mean,sum,trims,paths,mean10
10,1,46,128.0,143.0,14.83,133.48,4392,"(0.14, 0.92)",C:\repo2021\xyrepo\data\20201217\192.168.101.10\T05\T05_load_1_6000_2000_0.4_steel_20201217_173554.txt,0.0
21,2,45,152.0,162.0,5.7,157.4,5373,"(0.14, 0.91)",C:\repo2021\xyrepo\data\20201217\192.168.101.10\T05\T05_load_2_6000_2000_0.4_steel_20201217_173559.txt,0.0
32,3,47,141.0,166.0,20.52,159.53,5712,"(0.12, 0.93)",C:\repo2021\xyrepo\data\20201217\192.168.101.10\T05\T05_load_3_6000_2000_0.4_steel_20201217_173605.txt,0.0
43,4,47,139.0,165.0,17.18,160.23,5745,"(0.12, 0.92)",C:\repo2021\xyrepo\data\20201217\192.168.101.10\T05\T05_load_4_6000_2000_0.4_steel_20201217_173610.txt,0.0
54,5,49,144.0,169.0,19.05,165.78,6261,"(0.12, 0.93)",C:\repo2021\xyrepo\data\20201217\192.168.101.10\T05\T05_load_5_6000_2000_0.4_steel_20201217_173615.txt,0.0
65,6,48,152.0,178.0,22.21,173.71,6514,"(0.12, 0.92)",C:\repo2021\xyrepo\data\20201217\192.168.101.10\T05\T05_load_6_6000_2000_0.4_steel_20201217_173621.txt,0.0
72,7,47,154.0,179.0,19.99,174.72,6426,"(0.12, 0.92)",C:\repo2021\xyrepo\data\20201217\192.168.101.10\T05\T05_load_7_6000_2000_0.4_steel_20201217_173626.txt,0.0
73,8,47,155.0,180.0,23.66,175.32,6454,"(0.12, 0.92)",C:\repo2021\xyrepo\data\20201217\192.168.101.10\T05\T05_load_8_6000_2000_0.4_steel_20201217_173631.txt,0.0
74,9,47,162.0,181.0,17.25,175.91,6482,"(0.12, 0.92)",C:\repo2021\xyrepo\data\20201217\192.168.101.10\T05\T05_load_9_6000_2000_0.4_steel_20201217_173637.txt,0.0
0,10,48,153.0,183.0,31.36,178.52,6745,"(0.12, 0.92)",C:\repo2021\xyrepo\data\20201217\192.168.101.10\T05\T05_load_10_6000_2000_0.4_steel_20201217_173642.txt,0.0
1,11,47,160.0,183.0,24.16,178.57,6607,"(0.12, 0.9)",C:\repo2021\xyrepo\data\20201217\192.168.101.10\T05\T05_load_11_6000_2000_0.4_steel_20201217_173647.txt,165.46
2,12,45,164.0,180.0,13.47,176.6,6237,"(0.14, 0.91)",C:\repo2021\xyrepo\data\20201217\192.168.101.10\T05\T05_load_12_6000_2000_0.4_steel_20201217_173653.txt,169.969
3,13,46,156.0,179.0,23.32,175.13,6308,"(0.14, 0.92)",C:\repo2021\xyrepo\data\20201217\192.168.101.10\T05\T05_load_13_6000_2000_0.4_steel_20201217_173658.txt,171.88899999999998
4,14,45,165.0,182.0,16.71,178.8,6336,"(0.12, 0.91)",C:\repo2021\xyrepo\data\20201217\192.168.101.10\T05\T05_load_14_6000_2000_0.4_steel_20201217_173703.txt,173.449
5,15,46,165.0,188.0,25.97,184.63,6745,"(0.12, 0.91)",C:\repo2021\xyrepo\data\20201217\192.168.101.10\T05\T05_load_15_6000_2000_0.4_steel_20201217_173709.txt,175.30599999999998
6,16,48,165.0,189.0,21.79,184.54,7034,"(0.12, 0.93)",C:\repo2021\xyrepo\data\20201217\192.168.101.10\T05\T05_load_16_6000_2000_0.4_steel_20201217_173714.txt,177.19099999999997
7,17,47,161.0,190.0,35.27,185.34,6925,"(0.12, 0.92)",C:\repo2021\xyrepo\data\20201217\192.168.101.10\T05\T05_load_17_6000_2000_0.4_steel_20201217_173719.txt,178.27399999999997
8,18,45,172.0,189.0,17.01,185.76,6649,"(0.12, 0.91)",C:\repo2021\xyrepo\data\20201217\192.168.101.10\T05\T05_load_18_6000_2000_0.4_steel_20201217_173725.txt,179.33599999999998
9,19,47,168.0,191.0,24.73,186.55,6982,"(0.13, 0.92)",C:\repo2021\xyrepo\data\20201217\192.168.101.10\T05\T05_load_19_6000_2000_0.4_steel_20201217_173730.txt,180.37999999999997
11,20,47,171.0,190.0,19.69,185.85,6949,"(0.13, 0.92)",C:\repo2021\xyrepo\data\20201217\192.168.101.10\T05\T05_load_20_6000_2000_0.4_steel_20201217_173735.txt,181.44400000000002
12,21,46,171.0,192.0,24.97,187.09,6858,"(0.12, 0.91)",C:\repo2021\xyrepo\data\20201217\192.168.101.10\T05\T05_load_21_6000_2000_0.4_steel_20201217_173741.txt,182.17699999999996
13,22,46,168.0,191.0,31.4,186.74,6842,"(0.12, 0.93)",C:\repo2021\xyrepo\data\20201217\192.168.101.10\T05\T05_load_22_6000_2000_0.4_steel_20201217_173746.txt,183.029
14,23,46,161.0,191.0,36.24,185.39,6780,"(0.12, 0.91)",C:\repo2021\xyrepo\data\20201217\192.168.101.10\T05\T05_load_23_6000_2000_0.4_steel_20201217_173751.txt,184.04299999999998
15,24,46,166.0,191.0,25.94,186.57,6834,"(0.12, 0.91)",C:\repo2021\xyrepo\data\20201217\192.168.101.10\T05\T05_load_24_6000_2000_0.4_steel_20201217_173757.txt,185.06900000000002
16,25,47,171.0,192.0,24.34,187.43,7023,"(0.14, 0.93)",C:\repo2021\xyrepo\data\20201217\192.168.101.10\T05\T05_load_25_6000_2000_0.4_steel_20201217_173802.txt,185.84599999999998
17,26,47,172.0,192.0,19.63,188.02,7051,"(0.13, 0.92)",C:\repo2021\xyrepo\data\20201217\192.168.101.10\T05\T05_load_26_6000_2000_0.4_steel_20201217_173807.txt,186.126
18,27,46,162.0,192.0,35.64,186.96,6852,"(0.12, 0.91)",C:\repo2021\xyrepo\data\20201217\192.168.101.10\T05\T05_load_27_6000_2000_0.4_steel_20201217_173813.txt,186.474
19,28,47,173.0,192.0,19.68,187.6,7031,"(0.14, 0.93)",C:\repo2021\xyrepo\data\20201217\192.168.101.10\T05\T05_load_28_6000_2000_0.4_steel_20201217_173818.txt,186.63600000000002
20,29,46,161.0,192.0,34.78,187.39,6872,"(0.12, 0.91)",C:\repo2021\xyrepo\data\20201217\192.168.101.10\T05\T05_load_29_6000_2000_0.4_steel_20201217_173823.txt,186.82
22,30,47,170.0,192.0,21.83,187.85,7043,"(0.12, 0.92)",C:\repo2021\xyrepo\data\20201217\192.168.101.10\T05\T05_load_30_6000_2000_0.4_steel_20201217_173829.txt,186.904
23,31,47,156.0,169.0,12.04,162.96,5873,"(0.12, 0.92)",C:\repo2021\xyrepo\data\20201217\192.168.101.10\T05\T05_load_31_6000_2000_0.4_steel_20201217_175428.txt,187.10399999999998
24,32,46,160.0,192.0,26.86,187.93,6897,"(0.12, 0.93)",C:\repo2021\xyrepo\data\20201217\192.168.101.10\T05\T05_load_32_6000_2000_0.4_steel_20201217_175433.txt,184.69099999999997
25,33,44,175.0,194.0,15.21,189.66,6673,"(0.15, 0.95)",C:\repo2021\xyrepo\data\20201217\192.168.101.10\T05\T05_load_33_6000_2000_0.4_steel_20201217_175439.txt,184.81
26,34,46,178.0,196.0,11.88,192.35,7100,"(0.14, 0.92)",C:\repo2021\xyrepo\data\20201217\192.168.101.10\T05\T05_load_34_6000_2000_0.4_steel_20201217_175444.txt,185.23700000000002
27,35,47,174.0,198.0,18.66,193.11,7290,"(0.12, 0.93)",C:\repo2021\xyrepo\data\20201217\192.168.101.10\T05\T05_load_35_6000_2000_0.4_steel_20201217_175449.txt,185.815
28,36,46,177.0,198.0,20.84,193.0,7130,"(0.14, 0.93)",C:\repo2021\xyrepo\data\20201217\192.168.101.10\T05\T05_load_36_6000_2000_0.4_steel_20201217_175455.txt,186.38299999999998
29,37,47,175.0,197.0,22.41,192.98,7284,"(0.1, 0.91)",C:\repo2021\xyrepo\data\20201217\192.168.101.10\T05\T05_load_37_6000_2000_0.4_steel_20201217_175500.txt,186.881
30,38,47,173.0,198.0,25.95,193.47,7307,"(0.14, 0.93)",C:\repo2021\xyrepo\data\20201217\192.168.101.10\T05\T05_load_38_6000_2000_0.4_steel_20201217_175505.txt,187.483
31,39,47,175.0,199.0,25.27,194.17,7340,"(0.12, 0.92)",C:\repo2021\xyrepo\data\20201217\192.168.101.10\T05\T05_load_39_6000_2000_0.4_steel_20201217_175511.txt,188.07
33,40,46,181.0,200.0,21.18,196.02,7269,"(0.14, 0.92)",C:\repo2021\xyrepo\data\20201217\192.168.101.10\T05\T05_load_40_6000_2000_0.4_steel_20201217_175516.txt,188.74800000000002
34,41,47,182.0,201.0,17.06,196.66,7457,"(0.12, 0.92)",C:\repo2021\xyrepo\data\20201217\192.168.101.10\T05\T05_load_41_6000_2000_0.4_steel_20201217_175521.txt,189.565
35,42,46,171.0,201.0,32.95,195.74,7256,"(0.12, 0.91)",C:\repo2021\xyrepo\data\20201217\192.168.101.10\T05\T05_load_42_6000_2000_0.4_steel_20201217_175527.txt,192.935
36,43,47,176.0,200.0,23.56,195.45,7400,"(0.12, 0.92)",C:\repo2021\xyrepo\data\20201217\192.168.101.10\T05\T05_load_43_6000_2000_0.4_steel_20201217_175532.txt,193.716
