,index,length,min,max,var,mean,sum,trims,paths,mean10
0,1,46,92.0,108.0,15.55,97.91,2756,"(0.14, 0.92)",C:\repo2021\xyrepo\data\20201218\192.168.101.10\T01\T01_load_1_6000_2000_0.3_steel_20201218_131914.txt,0.0
1,2,45,107.0,121.0,4.19,116.36,3526,"(0.14, 0.9)",C:\repo2021\xyrepo\data\20201218\192.168.101.10\T01\T01_load_2_6000_2000_0.3_steel_20201218_131919.txt,0.0
2,3,45,115.0,122.0,2.36,118.22,3610,"(0.14, 0.91)",C:\repo2021\xyrepo\data\20201218\192.168.101.10\T01\T01_load_3_6000_2000_0.3_steel_20201218_131924.txt,0.0
3,4,45,108.0,121.0,4.12,118.71,3632,"(0.12, 0.93)",C:\repo2021\xyrepo\data\20201218\192.168.101.10\T01\T01_load_4_6000_2000_0.3_steel_20201218_131930.txt,0.0
4,5,46,105.0,123.0,6.24,119.39,3744,"(0.12, 0.91)",C:\repo2021\xyrepo\data\20201218\192.168.101.10\T01\T01_load_5_6000_2000_0.3_steel_20201218_131935.txt,0.0
5,6,44,118.0,126.0,2.91,121.14,3658,"(0.14, 0.91)",C:\repo2021\xyrepo\data\20201218\192.168.101.10\T01\T01_load_6_6000_2000_0.3_steel_20201218_131940.txt,0.0
6,7,47,116.0,124.0,2.49,121.34,3917,"(0.14, 0.93)",C:\repo2021\xyrepo\data\20201218\192.168.101.10\T01\T01_load_7_6000_2000_0.3_steel_20201218_131946.txt,0.0
7,8,46,107.0,127.0,7.67,121.59,3845,"(0.12, 0.91)",C:\repo2021\xyrepo\data\20201218\192.168.101.10\T01\T01_load_8_6000_2000_0.3_steel_20201218_131951.txt,0.0
8,9,44,116.0,127.0,3.45,122.75,3729,"(0.12, 0.91)",C:\repo2021\xyrepo\data\20201218\192.168.101.10\T01\T01_load_9_6000_2000_0.3_steel_20201218_131956.txt,0.0
9,10,47,118.0,127.0,2.21,124.7,4075,"(0.14, 0.93)",C:\repo2021\xyrepo\data\20201218\192.168.101.10\T01\T01_load_10_6000_2000_0.3_steel_20201218_132002.txt,0.0
10,11,46,119.0,127.0,2.66,124.7,3988,"(0.12, 0.93)",C:\repo2021\xyrepo\data\20201218\192.168.101.10\T01\T01_load_11_6000_2000_0.3_steel_20201218_132007.txt,118.21100000000001
11,12,47,111.0,129.0,7.54,125.83,4128,"(0.12, 0.92)",C:\repo2021\xyrepo\data\20201218\192.168.101.10\T01\T01_load_12_6000_2000_0.3_steel_20201218_132012.txt,120.89000000000001
12,13,48,109.0,129.0,8.86,126.31,4239,"(0.12, 0.92)",C:\repo2021\xyrepo\data\20201218\192.168.101.10\T01\T01_load_13_6000_2000_0.3_steel_20201218_132018.txt,121.83699999999999
13,14,45,117.0,129.0,7.49,126.09,3964,"(0.12, 0.93)",C:\repo2021\xyrepo\data\20201218\192.168.101.10\T01\T01_load_14_6000_2000_0.3_steel_20201218_132023.txt,122.646
14,15,44,114.0,129.0,5.74,126.93,3913,"(0.11, 0.91)",C:\repo2021\xyrepo\data\20201218\192.168.101.10\T01\T01_load_15_6000_2000_0.3_steel_20201218_132028.txt,123.38399999999999
15,16,44,116.0,131.0,6.07,127.7,3947,"(0.13, 0.93)",C:\repo2021\xyrepo\data\20201218\192.168.101.10\T01\T01_load_16_6000_2000_0.3_steel_20201218_132034.txt,124.138
16,17,46,119.0,131.0,10.03,123.59,3937,"(0.12, 0.93)",C:\repo2021\xyrepo\data\20201218\192.168.101.10\T01\T01_load_17_6000_2000_0.3_steel_20201218_132039.txt,124.79400000000001
17,18,46,106.0,129.0,13.46,125.7,4034,"(0.12, 0.93)",C:\repo2021\xyrepo\data\20201218\192.168.101.10\T01\T01_load_18_6000_2000_0.3_steel_20201218_132044.txt,125.01899999999998
18,19,44,123.0,129.0,2.02,126.48,3893,"(0.12, 0.91)",C:\repo2021\xyrepo\data\20201218\192.168.101.10\T01\T01_load_19_6000_2000_0.3_steel_20201218_132050.txt,125.42999999999999
19,20,46,118.0,129.0,4.33,126.63,4077,"(0.12, 0.93)",C:\repo2021\xyrepo\data\20201218\192.168.101.10\T01\T01_load_20_6000_2000_0.3_steel_20201218_132055.txt,125.803
20,21,47,115.0,129.0,5.06,125.83,4128,"(0.13, 0.92)",C:\repo2021\xyrepo\data\20201218\192.168.101.10\T01\T01_load_21_6000_2000_0.3_steel_20201218_132100.txt,125.99600000000001
21,22,46,119.0,130.0,4.17,127.22,4104,"(0.14, 0.93)",C:\repo2021\xyrepo\data\20201218\192.168.101.10\T01\T01_load_22_6000_2000_0.3_steel_20201218_132105.txt,126.109
22,23,46,111.0,129.0,9.17,126.07,4051,"(0.12, 0.91)",C:\repo2021\xyrepo\data\20201218\192.168.101.10\T01\T01_load_23_6000_2000_0.3_steel_20201218_132111.txt,126.248
