,index,length,min,max,var,mean,sum,trims,paths,mean10
10,11,47,120.0,152.0,26.9,145.43,5049,"(0.15, 0.92)",C:\repo2021\xyrepo\data\20201217\192.168.101.10\T04\T04_load_11_6000_2000_0.3_steel_20201217_111441.txt,139.45100000000002
11,12,48,115.0,156.0,45.43,149.12,5334,"(0.13, 0.93)",C:\repo2021\xyrepo\data\20201217\192.168.101.10\T04\T04_load_12_6000_2000_0.3_steel_20201217_111446.txt,142.03
12,13,46,129.0,157.0,20.74,152.2,5253,"(0.15, 0.92)",C:\repo2021\xyrepo\data\20201217\192.168.101.10\T04\T04_load_13_6000_2000_0.3_steel_20201217_111452.txt,143.127
13,14,48,121.0,156.0,32.14,151.77,5461,"(0.12, 0.92)",C:\repo2021\xyrepo\data\20201217\192.168.101.10\T04\T04_load_14_6000_2000_0.3_steel_20201217_111457.txt,144.328
14,15,46,124.0,157.0,31.26,152.93,5287,"(0.14, 0.92)",C:\repo2021\xyrepo\data\20201217\192.168.101.10\T04\T04_load_15_6000_2000_0.3_steel_20201217_111502.txt,145.63799999999998
15,16,48,107.0,157.0,61.79,151.96,5470,"(0.13, 0.9)",C:\repo2021\xyrepo\data\20201217\192.168.101.10\T04\T04_load_16_6000_2000_0.3_steel_20201217_111508.txt,147.106
16,17,48,123.0,158.0,33.02,152.29,5486,"(0.15, 0.92)",C:\repo2021\xyrepo\data\20201217\192.168.101.10\T04\T04_load_17_6000_2000_0.3_steel_20201217_111513.txt,148.11200000000002
17,18,48,126.0,157.0,23.24,151.9,5467,"(0.13, 0.92)",C:\repo2021\xyrepo\data\20201217\192.168.101.10\T04\T04_load_18_6000_2000_0.3_steel_20201217_111518.txt,148.999
18,19,47,126.0,157.0,25.21,152.47,5380,"(0.13, 0.9)",C:\repo2021\xyrepo\data\20201217\192.168.101.10\T04\T04_load_19_6000_2000_0.3_steel_20201217_111524.txt,149.708
19,20,48,114.0,157.0,46.33,152.92,5516,"(0.13, 0.93)",C:\repo2021\xyrepo\data\20201217\192.168.101.10\T04\T04_load_20_6000_2000_0.3_steel_20201217_111529.txt,150.45700000000002
20,21,47,137.0,158.0,14.6,153.57,5432,"(0.15, 0.92)",C:\repo2021\xyrepo\data\20201217\192.168.101.10\T04\T04_load_21_6000_2000_0.3_steel_20201217_111534.txt,151.299
21,22,49,110.0,158.0,53.08,152.8,5625,"(0.11, 0.92)",C:\repo2021\xyrepo\data\20201217\192.168.101.10\T04\T04_load_22_6000_2000_0.3_steel_20201217_111540.txt,152.113
22,23,47,128.0,158.0,23.74,153.0,5405,"(0.13, 0.92)",C:\repo2021\xyrepo\data\20201217\192.168.101.10\T04\T04_load_23_6000_2000_0.3_steel_20201217_111545.txt,152.481
23,24,48,128.0,158.0,21.7,152.48,5495,"(0.12, 0.93)",C:\repo2021\xyrepo\data\20201217\192.168.101.10\T04\T04_load_24_6000_2000_0.3_steel_20201217_111550.txt,152.56099999999998
24,25,48,128.0,158.0,24.78,153.67,5552,"(0.13, 0.92)",C:\repo2021\xyrepo\data\20201217\192.168.101.10\T04\T04_load_25_6000_2000_0.3_steel_20201217_111556.txt,152.632
25,26,47,125.0,158.0,29.64,153.6,5433,"(0.14, 0.93)",C:\repo2021\xyrepo\data\20201217\192.168.101.10\T04\T04_load_26_6000_2000_0.3_steel_20201217_111601.txt,152.706
26,27,47,131.0,158.0,16.54,153.98,5451,"(0.12, 0.9)",C:\repo2021\xyrepo\data\20201217\192.168.101.10\T04\T04_load_27_6000_2000_0.3_steel_20201217_111606.txt,152.86999999999998
27,28,48,124.0,161.0,34.17,156.29,5678,"(0.13, 0.92)",C:\repo2021\xyrepo\data\20201217\192.168.101.10\T04\T04_load_28_6000_2000_0.3_steel_20201217_111612.txt,153.039
28,29,47,126.0,163.0,32.11,156.26,5558,"(0.13, 0.92)",C:\repo2021\xyrepo\data\20201217\192.168.101.10\T04\T04_load_29_6000_2000_0.3_steel_20201217_111617.txt,153.478
29,30,48,112.0,161.0,62.49,155.38,5634,"(0.1, 0.93)",C:\repo2021\xyrepo\data\20201217\192.168.101.10\T04\T04_load_30_6000_2000_0.3_steel_20201217_111623.txt,153.857
31,32,47,131.0,166.0,38.98,160.74,5769,"(0.12, 0.93)",C:\repo2021\xyrepo\data\20201217\192.168.101.10\T04\T04_load_32_6000_2000_0.3_steel_20201217_120856.txt,152.946
32,33,47,130.0,169.0,51.98,162.98,5874,"(0.12, 0.92)",C:\repo2021\xyrepo\data\20201217\192.168.101.10\T04\T04_load_33_6000_2000_0.3_steel_20201217_120901.txt,153.73999999999998
33,34,48,137.0,169.0,36.75,164.38,6066,"(0.13, 0.93)",C:\repo2021\xyrepo\data\20201217\192.168.101.10\T04\T04_load_34_6000_2000_0.3_steel_20201217_120907.txt,154.738
34,35,46,143.0,170.0,29.99,164.46,5817,"(0.12, 0.91)",C:\repo2021\xyrepo\data\20201217\192.168.101.10\T04\T04_load_35_6000_2000_0.3_steel_20201217_120912.txt,155.92800000000003
35,36,46,151.0,169.0,18.0,163.78,5786,"(0.14, 0.93)",C:\repo2021\xyrepo\data\20201217\192.168.101.10\T04\T04_load_36_6000_2000_0.3_steel_20201217_120917.txt,157.007
36,37,47,131.0,169.0,42.72,163.26,5887,"(0.12, 0.93)",C:\repo2021\xyrepo\data\20201217\192.168.101.10\T04\T04_load_37_6000_2000_0.3_steel_20201217_120923.txt,158.025
37,38,47,142.0,170.0,25.03,164.28,5935,"(0.13, 0.92)",C:\repo2021\xyrepo\data\20201217\192.168.101.10\T04\T04_load_38_6000_2000_0.3_steel_20201217_120928.txt,158.953
38,39,46,147.0,169.0,20.87,163.87,5790,"(0.14, 0.93)",C:\repo2021\xyrepo\data\20201217\192.168.101.10\T04\T04_load_39_6000_2000_0.3_steel_20201217_120933.txt,159.752
39,40,46,131.0,169.0,38.15,163.83,5788,"(0.12, 0.91)",C:\repo2021\xyrepo\data\20201217\192.168.101.10\T04\T04_load_40_6000_2000_0.3_steel_20201217_120939.txt,160.513
40,41,45,149.0,171.0,19.12,164.71,5702,"(0.14, 0.91)",C:\repo2021\xyrepo\data\20201217\192.168.101.10\T04\T04_load_41_6000_2000_0.3_steel_20201217_120944.txt,161.358
41,42,46,143.0,172.0,31.02,164.96,5840,"(0.13, 0.9)",C:\repo2021\xyrepo\data\20201217\192.168.101.10\T04\T04_load_42_6000_2000_0.3_steel_20201217_120949.txt,163.629
42,43,46,149.0,171.0,25.51,166.78,5924,"(0.14, 0.93)",C:\repo2021\xyrepo\data\20201217\192.168.101.10\T04\T04_load_43_6000_2000_0.3_steel_20201217_120955.txt,164.05100000000002
43,44,46,139.0,172.0,35.18,166.57,5914,"(0.14, 0.93)",C:\repo2021\xyrepo\data\20201217\192.168.101.10\T04\T04_load_44_6000_2000_0.3_steel_20201217_121000.txt,164.431
44,45,47,134.0,171.0,48.67,165.94,6013,"(0.12, 0.92)",C:\repo2021\xyrepo\data\20201217\192.168.101.10\T04\T04_load_45_6000_2000_0.3_steel_20201217_121005.txt,164.65
45,46,46,139.0,172.0,37.55,166.3,5902,"(0.14, 0.92)",C:\repo2021\xyrepo\data\20201217\192.168.101.10\T04\T04_load_46_6000_2000_0.3_steel_20201217_121011.txt,164.79799999999997
46,47,47,146.0,172.0,27.59,166.98,6062,"(0.14, 0.93)",C:\repo2021\xyrepo\data\20201217\192.168.101.10\T04\T04_load_47_6000_2000_0.3_steel_20201217_121016.txt,165.05
47,48,47,149.0,171.0,19.85,166.81,6054,"(0.12, 0.93)",C:\repo2021\xyrepo\data\20201217\192.168.101.10\T04\T04_load_48_6000_2000_0.3_steel_20201217_121021.txt,165.422
48,49,47,147.0,171.0,22.49,166.23,6027,"(0.13, 0.92)",C:\repo2021\xyrepo\data\20201217\192.168.101.10\T04\T04_load_49_6000_2000_0.3_steel_20201217_121027.txt,165.675
49,50,46,134.0,172.0,42.0,166.67,5919,"(0.12, 0.91)",C:\repo2021\xyrepo\data\20201217\192.168.101.10\T04\T04_load_50_6000_2000_0.3_steel_20201217_121032.txt,165.911
50,51,46,146.0,172.0,27.97,167.26,5946,"(0.12, 0.91)",C:\repo2021\xyrepo\data\20201217\192.168.101.10\T04\T04_load_51_6000_2000_0.3_steel_20201217_121037.txt,166.195
51,52,45,150.0,171.0,22.42,167.11,5810,"(0.14, 0.91)",C:\repo2021\xyrepo\data\20201217\192.168.101.10\T04\T04_load_52_6000_2000_0.3_steel_20201217_121043.txt,166.45
52,53,46,146.0,173.0,27.04,166.74,5922,"(0.12, 0.93)",C:\repo2021\xyrepo\data\20201217\192.168.101.10\T04\T04_load_53_6000_2000_0.3_steel_20201217_121048.txt,166.66500000000002
53,54,47,152.0,171.0,17.2,166.62,6045,"(0.13, 0.92)",C:\repo2021\xyrepo\data\20201217\192.168.101.10\T04\T04_load_54_6000_2000_0.3_steel_20201217_121053.txt,166.661
54,55,46,148.0,174.0,28.17,168.5,6003,"(0.14, 0.93)",C:\repo2021\xyrepo\data\20201217\192.168.101.10\T04\T04_load_55_6000_2000_0.3_steel_20201217_121059.txt,166.666
55,56,47,143.0,174.0,33.57,168.77,6146,"(0.12, 0.92)",C:\repo2021\xyrepo\data\20201217\192.168.101.10\T04\T04_load_56_6000_2000_0.3_steel_20201217_121104.txt,166.92199999999997
56,57,47,146.0,175.0,29.1,169.34,6173,"(0.12, 0.92)",C:\repo2021\xyrepo\data\20201217\192.168.101.10\T04\T04_load_57_6000_2000_0.3_steel_20201217_121109.txt,167.169
57,58,46,154.0,175.0,21.4,169.93,6069,"(0.14, 0.93)",C:\repo2021\xyrepo\data\20201217\192.168.101.10\T04\T04_load_58_6000_2000_0.3_steel_20201217_121115.txt,167.405
58,59,47,152.0,174.0,23.74,170.0,6204,"(0.14, 0.93)",C:\repo2021\xyrepo\data\20201217\192.168.101.10\T04\T04_load_59_6000_2000_0.3_steel_20201217_121120.txt,167.717
59,60,47,152.0,175.0,28.43,169.96,6202,"(0.13, 0.92)",C:\repo2021\xyrepo\data\20201217\192.168.101.10\T04\T04_load_60_6000_2000_0.3_steel_20201217_121125.txt,168.094
61,62,47,150.0,172.0,21.17,167.0,6063,"(0.14, 0.93)",C:\repo2021\xyrepo\data\20201217\192.168.101.10\T04\T04_load_62_6000_2000_0.3_steel_20201217_132652.txt,166.425
62,63,45,151.0,173.0,20.14,167.64,5834,"(0.12, 0.91)",C:\repo2021\xyrepo\data\20201217\192.168.101.10\T04\T04_load_63_6000_2000_0.3_steel_20201217_132658.txt,166.41400000000002
63,64,46,147.0,171.0,25.63,167.5,5957,"(0.14, 0.92)",C:\repo2021\xyrepo\data\20201217\192.168.101.10\T04\T04_load_64_6000_2000_0.3_steel_20201217_132703.txt,166.504
64,65,47,154.0,173.0,15.43,167.53,6088,"(0.12, 0.92)",C:\repo2021\xyrepo\data\20201217\192.168.101.10\T04\T04_load_65_6000_2000_0.3_steel_20201217_132708.txt,166.592
65,66,47,152.0,172.0,19.4,166.77,6052,"(0.12, 0.93)",C:\repo2021\xyrepo\data\20201217\192.168.101.10\T04\T04_load_66_6000_2000_0.3_steel_20201217_132714.txt,166.495
66,67,46,154.0,171.0,10.99,167.37,5951,"(0.14, 0.93)",C:\repo2021\xyrepo\data\20201217\192.168.101.10\T04\T04_load_67_6000_2000_0.3_steel_20201217_132719.txt,166.29500000000002
67,68,46,153.0,172.0,14.49,166.78,5924,"(0.14, 0.92)",C:\repo2021\xyrepo\data\20201217\192.168.101.10\T04\T04_load_68_6000_2000_0.3_steel_20201217_132724.txt,166.098
68,69,45,154.0,170.0,13.62,166.2,5769,"(0.12, 0.9)",C:\repo2021\xyrepo\data\20201217\192.168.101.10\T04\T04_load_69_6000_2000_0.3_steel_20201217_132730.txt,165.78300000000002
69,70,47,151.0,170.0,17.35,166.15,6023,"(0.13, 0.92)",C:\repo2021\xyrepo\data\20201217\192.168.101.10\T04\T04_load_70_6000_2000_0.3_steel_20201217_132735.txt,165.403
70,71,47,153.0,171.0,16.85,166.81,6054,"(0.13, 0.92)",C:\repo2021\xyrepo\data\20201217\192.168.101.10\T04\T04_load_71_6000_2000_0.3_steel_20201217_132740.txt,165.022
71,72,46,153.0,171.0,14.88,166.5,5911,"(0.14, 0.92)",C:\repo2021\xyrepo\data\20201217\192.168.101.10\T04\T04_load_72_6000_2000_0.3_steel_20201217_132746.txt,166.975
72,73,46,152.0,171.0,16.02,167.07,5937,"(0.12, 0.91)",C:\repo2021\xyrepo\data\20201217\192.168.101.10\T04\T04_load_73_6000_2000_0.3_steel_20201217_132751.txt,166.925
73,74,47,143.0,172.0,27.06,166.64,6046,"(0.14, 0.93)",C:\repo2021\xyrepo\data\20201217\192.168.101.10\T04\T04_load_74_6000_2000_0.3_steel_20201217_132756.txt,166.868
74,75,46,149.0,171.0,24.2,166.59,5915,"(0.12, 0.91)",C:\repo2021\xyrepo\data\20201217\192.168.101.10\T04\T04_load_75_6000_2000_0.3_steel_20201217_132802.txt,166.782
75,76,47,147.0,172.0,27.48,166.68,6048,"(0.12, 0.93)",C:\repo2021\xyrepo\data\20201217\192.168.101.10\T04\T04_load_76_6000_2000_0.3_steel_20201217_132807.txt,166.688
76,77,40,164.0,171.0,2.46,167.48,5179,"(0.1, 0.92)",C:\repo2021\xyrepo\data\20201217\192.168.101.10\T04\T04_load_77_6000_2000_0.3_steel_20201217_132812.txt,166.679
77,78,47,151.0,170.0,15.86,165.91,6012,"(0.13, 0.92)",C:\repo2021\xyrepo\data\20201217\192.168.101.10\T04\T04_load_78_6000_2000_0.3_steel_20201217_132818.txt,166.69
78,79,46,143.0,171.0,23.31,165.61,5870,"(0.12, 0.91)",C:\repo2021\xyrepo\data\20201217\192.168.101.10\T04\T04_load_79_6000_2000_0.3_steel_20201217_132823.txt,166.603
79,80,46,151.0,171.0,17.37,166.78,5924,"(0.14, 0.92)",C:\repo2021\xyrepo\data\20201217\192.168.101.10\T04\T04_load_80_6000_2000_0.3_steel_20201217_132828.txt,166.544
80,81,46,152.0,171.0,17.14,166.2,5897,"(0.12, 0.91)",C:\repo2021\xyrepo\data\20201217\192.168.101.10\T04\T04_load_81_6000_2000_0.3_steel_20201217_132834.txt,166.607
81,82,48,150.0,171.0,23.04,166.06,6147,"(0.12, 0.92)",C:\repo2021\xyrepo\data\20201217\192.168.101.10\T04\T04_load_82_6000_2000_0.3_steel_20201217_132839.txt,166.546
82,83,46,150.0,171.0,21.44,166.26,5900,"(0.12, 0.93)",C:\repo2021\xyrepo\data\20201217\192.168.101.10\T04\T04_load_83_6000_2000_0.3_steel_20201217_132844.txt,166.502
83,84,47,147.0,172.0,21.36,166.23,6027,"(0.11, 0.93)",C:\repo2021\xyrepo\data\20201217\192.168.101.10\T04\T04_load_84_6000_2000_0.3_steel_20201217_132850.txt,166.421
84,85,46,153.0,171.0,14.52,167.13,5940,"(0.12, 0.91)",C:\repo2021\xyrepo\data\20201217\192.168.101.10\T04\T04_load_85_6000_2000_0.3_steel_20201217_132855.txt,166.38
85,86,48,155.0,171.0,13.8,166.67,6176,"(0.13, 0.93)",C:\repo2021\xyrepo\data\20201217\192.168.101.10\T04\T04_load_86_6000_2000_0.3_steel_20201217_132900.txt,166.43400000000003
86,87,46,149.0,171.0,15.38,166.67,5919,"(0.12, 0.93)",C:\repo2021\xyrepo\data\20201217\192.168.101.10\T04\T04_load_87_6000_2000_0.3_steel_20201217_132906.txt,166.433
87,88,46,153.0,171.0,15.89,167.2,5943,"(0.14, 0.92)",C:\repo2021\xyrepo\data\20201217\192.168.101.10\T04\T04_load_88_6000_2000_0.3_steel_20201217_132911.txt,166.35200000000003
88,89,48,151.0,173.0,21.16,169.1,6293,"(0.12, 0.92)",C:\repo2021\xyrepo\data\20201217\192.168.101.10\T04\T04_load_89_6000_2000_0.3_steel_20201217_132916.txt,166.48100000000002
89,90,48,147.0,174.0,27.13,169.02,6289,"(0.12, 0.92)",C:\repo2021\xyrepo\data\20201217\192.168.101.10\T04\T04_load_90_6000_2000_0.3_steel_20201217_132922.txt,166.82999999999998
91,92,45,150.0,176.0,25.57,172.56,6055,"(0.14, 0.91)",C:\repo2021\xyrepo\data\20201217\192.168.101.10\T04\T04_load_92_6000_2000_0.3_steel_20201217_134357.txt,165.61499999999998
92,93,47,148.0,177.0,30.61,172.21,6308,"(0.13, 0.92)",C:\repo2021\xyrepo\data\20201217\192.168.101.10\T04\T04_load_93_6000_2000_0.3_steel_20201217_134403.txt,166.265
93,94,47,128.0,178.0,67.85,172.98,6344,"(0.12, 0.93)",C:\repo2021\xyrepo\data\20201217\192.168.101.10\T04\T04_load_94_6000_2000_0.3_steel_20201217_134408.txt,166.85999999999999
94,95,47,137.0,178.0,49.68,173.19,6354,"(0.12, 0.93)",C:\repo2021\xyrepo\data\20201217\192.168.101.10\T04\T04_load_95_6000_2000_0.3_steel_20201217_134414.txt,167.535
95,96,46,153.0,179.0,27.24,174.3,6270,"(0.12, 0.93)",C:\repo2021\xyrepo\data\20201217\192.168.101.10\T04\T04_load_96_6000_2000_0.3_steel_20201217_134419.txt,168.141
96,97,46,146.0,180.0,33.39,175.17,6310,"(0.14, 0.92)",C:\repo2021\xyrepo\data\20201217\192.168.101.10\T04\T04_load_97_6000_2000_0.3_steel_20201217_134424.txt,168.904
97,98,47,141.0,179.0,40.3,175.0,6439,"(0.12, 0.93)",C:\repo2021\xyrepo\data\20201217\192.168.101.10\T04\T04_load_98_6000_2000_0.3_steel_20201217_134430.txt,169.754
98,99,46,140.0,181.0,43.39,175.65,6332,"(0.12, 0.91)",C:\repo2021\xyrepo\data\20201217\192.168.101.10\T04\T04_load_99_6000_2000_0.3_steel_20201217_134435.txt,170.53400000000002
99,100,47,140.0,180.0,44.52,176.3,6500,"(0.1, 0.91)",C:\repo2021\xyrepo\data\20201217\192.168.101.10\T04\T04_load_100_6000_2000_0.3_steel_20201217_134440.txt,171.18900000000002
100,101,46,142.0,181.0,44.46,176.17,6356,"(0.12, 0.91)",C:\repo2021\xyrepo\data\20201217\192.168.101.10\T04\T04_load_101_6000_2000_0.3_steel_20201217_134446.txt,171.91699999999997
101,102,46,150.0,181.0,29.85,176.13,6354,"(0.14, 0.92)",C:\repo2021\xyrepo\data\20201217\192.168.101.10\T04\T04_load_102_6000_2000_0.3_steel_20201217_134451.txt,174.353
102,103,48,151.0,183.0,31.69,177.88,6714,"(0.13, 0.93)",C:\repo2021\xyrepo\data\20201217\192.168.101.10\T04\T04_load_103_6000_2000_0.3_steel_20201217_134456.txt,174.71000000000004
103,104,46,159.0,181.0,19.54,177.72,6427,"(0.12, 0.91)",C:\repo2021\xyrepo\data\20201217\192.168.101.10\T04\T04_load_104_6000_2000_0.3_steel_20201217_134502.txt,175.277
104,105,46,142.0,183.0,47.94,177.43,6414,"(0.12, 0.91)",C:\repo2021\xyrepo\data\20201217\192.168.101.10\T04\T04_load_105_6000_2000_0.3_steel_20201217_134507.txt,175.751
105,106,47,140.0,182.0,51.8,177.36,6550,"(0.12, 0.93)",C:\repo2021\xyrepo\data\20201217\192.168.101.10\T04\T04_load_106_6000_2000_0.3_steel_20201217_134512.txt,176.175
106,107,47,150.0,182.0,32.91,177.3,6547,"(0.13, 0.92)",C:\repo2021\xyrepo\data\20201217\192.168.101.10\T04\T04_load_107_6000_2000_0.3_steel_20201217_134517.txt,176.481
107,108,46,148.0,181.0,31.64,176.85,6387,"(0.12, 0.91)",C:\repo2021\xyrepo\data\20201217\192.168.101.10\T04\T04_load_108_6000_2000_0.3_steel_20201217_134523.txt,176.694
108,109,48,127.0,183.0,81.88,177.9,6715,"(0.12, 0.92)",C:\repo2021\xyrepo\data\20201217\192.168.101.10\T04\T04_load_109_6000_2000_0.3_steel_20201217_134528.txt,176.879
109,110,48,149.0,200.0,68.5,193.81,7479,"(0.12, 0.92)",C:\repo2021\xyrepo\data\20201217\192.168.101.10\T04\T04_load_110_6000_2000_0.3_steel_20201217_134534.txt,177.10399999999998
110,111,47,155.0,200.0,58.75,194.77,7368,"(0.12, 0.92)",C:\repo2021\xyrepo\data\20201217\192.168.101.10\T04\T04_load_111_6000_2000_0.3_steel_20201217_134539.txt,178.85500000000002
111,112,47,149.0,201.0,81.59,195.19,7388,"(0.11, 0.93)",C:\repo2021\xyrepo\data\20201217\192.168.101.10\T04\T04_load_112_6000_2000_0.3_steel_20201217_134544.txt,180.715
112,113,47,163.0,201.0,49.18,195.77,7415,"(0.12, 0.92)",C:\repo2021\xyrepo\data\20201217\192.168.101.10\T04\T04_load_113_6000_2000_0.3_steel_20201217_134550.txt,182.621
113,114,47,154.0,202.0,62.3,196.85,7466,"(0.12, 0.93)",C:\repo2021\xyrepo\data\20201217\192.168.101.10\T04\T04_load_114_6000_2000_0.3_steel_20201217_134555.txt,184.41
114,115,46,161.0,202.0,49.35,197.17,7322,"(0.12, 0.9)",C:\repo2021\xyrepo\data\20201217\192.168.101.10\T04\T04_load_115_6000_2000_0.3_steel_20201217_134600.txt,186.323
115,116,47,179.0,203.0,24.63,198.74,7555,"(0.12, 0.92)",C:\repo2021\xyrepo\data\20201217\192.168.101.10\T04\T04_load_116_6000_2000_0.3_steel_20201217_134606.txt,188.29700000000003
116,117,47,159.0,203.0,54.51,198.55,7546,"(0.12, 0.93)",C:\repo2021\xyrepo\data\20201217\192.168.101.10\T04\T04_load_117_6000_2000_0.3_steel_20201217_134611.txt,190.435
117,118,46,176.0,202.0,27.24,199.09,7410,"(0.14, 0.92)",C:\repo2021\xyrepo\data\20201217\192.168.101.10\T04\T04_load_118_6000_2000_0.3_steel_20201217_134616.txt,192.56
118,119,46,177.0,204.0,32.24,200.17,7460,"(0.14, 0.93)",C:\repo2021\xyrepo\data\20201217\192.168.101.10\T04\T04_load_119_6000_2000_0.3_steel_20201217_134622.txt,194.784
119,120,47,173.0,205.0,36.63,200.38,7632,"(0.13, 0.92)",C:\repo2021\xyrepo\data\20201217\192.168.101.10\T04\T04_load_120_6000_2000_0.3_steel_20201217_134627.txt,197.011
121,122,46,176.0,209.0,35.76,204.43,7656,"(0.14, 0.92)",C:\repo2021\xyrepo\data\20201217\192.168.101.10\T04\T04_load_122_6000_2000_0.3_steel_20201217_134712.txt,196.434
122,123,47,175.0,209.0,42.76,204.94,7846,"(0.12, 0.92)",C:\repo2021\xyrepo\data\20201217\192.168.101.10\T04\T04_load_123_6000_2000_0.3_steel_20201217_134717.txt,197.358
123,124,47,158.0,211.0,81.77,205.43,7869,"(0.12, 0.92)",C:\repo2021\xyrepo\data\20201217\192.168.101.10\T04\T04_load_124_6000_2000_0.3_steel_20201217_134723.txt,198.275
124,125,47,160.0,211.0,75.14,206.34,7912,"(0.12, 0.93)",C:\repo2021\xyrepo\data\20201217\192.168.101.10\T04\T04_load_125_6000_2000_0.3_steel_20201217_134728.txt,199.133
125,126,47,178.0,211.0,39.6,207.09,7947,"(0.12, 0.93)",C:\repo2021\xyrepo\data\20201217\192.168.101.10\T04\T04_load_126_6000_2000_0.3_steel_20201217_134733.txt,200.05
126,127,46,178.0,213.0,42.95,208.07,7823,"(0.12, 0.91)",C:\repo2021\xyrepo\data\20201217\192.168.101.10\T04\T04_load_127_6000_2000_0.3_steel_20201217_134739.txt,200.885
127,128,48,165.0,213.0,62.5,207.58,8140,"(0.1, 0.93)",C:\repo2021\xyrepo\data\20201217\192.168.101.10\T04\T04_load_128_6000_2000_0.3_steel_20201217_134744.txt,201.837
128,129,46,187.0,214.0,29.94,209.2,7875,"(0.14, 0.92)",C:\repo2021\xyrepo\data\20201217\192.168.101.10\T04\T04_load_129_6000_2000_0.3_steel_20201217_134749.txt,202.68599999999998
129,130,47,184.0,213.0,34.91,209.53,8062,"(0.13, 0.92)",C:\repo2021\xyrepo\data\20201217\192.168.101.10\T04\T04_load_130_6000_2000_0.3_steel_20201217_134755.txt,203.589
130,131,47,201.0,236.0,72.07,223.87,8736,"(0.14, 0.93)",C:\repo2021\xyrepo\data\20201217\192.168.101.10\T04\T04_load_131_6000_2000_0.3_steel_20201217_134800.txt,204.504
131,132,45,216.0,258.0,95.36,246.09,9364,"(0.14, 0.91)",C:\repo2021\xyrepo\data\20201217\192.168.101.10\T04\T04_load_132_6000_2000_0.3_steel_20201217_134805.txt,208.648
132,133,47,209.0,272.0,138.82,261.3,10495,"(0.12, 0.92)",C:\repo2021\xyrepo\data\20201217\192.168.101.10\T04\T04_load_133_6000_2000_0.3_steel_20201217_134811.txt,212.814
133,134,47,177.0,262.0,229.81,248.72,9904,"(0.12, 0.93)",C:\repo2021\xyrepo\data\20201217\192.168.101.10\T04\T04_load_134_6000_2000_0.3_steel_20201217_134816.txt,218.45
134,135,49,195.0,260.0,124.47,249.31,10354,"(0.12, 0.93)",C:\repo2021\xyrepo\data\20201217\192.168.101.10\T04\T04_load_135_6000_2000_0.3_steel_20201217_134821.txt,222.779
135,136,46,232.0,274.0,75.6,262.22,10314,"(0.12, 0.9)",C:\repo2021\xyrepo\data\20201217\192.168.101.10\T04\T04_load_136_6000_2000_0.3_steel_20201217_134827.txt,227.07600000000002
136,137,46,241.0,280.0,71.21,270.35,10688,"(0.12, 0.91)",C:\repo2021\xyrepo\data\20201217\192.168.101.10\T04\T04_load_137_6000_2000_0.3_steel_20201217_134832.txt,232.58900000000003
137,138,47,247.0,280.0,50.65,272.49,11021,"(0.12, 0.93)",C:\repo2021\xyrepo\data\20201217\192.168.101.10\T04\T04_load_138_6000_2000_0.3_steel_20201217_134837.txt,238.81699999999995
138,139,47,256.0,286.0,39.56,274.79,11129,"(0.12, 0.92)",C:\repo2021\xyrepo\data\20201217\192.168.101.10\T04\T04_load_139_6000_2000_0.3_steel_20201217_134843.txt,245.308
